期号,红球1,红球2,红球3,红球4,红球5,红球6,蓝球,开奖日期,奖池(元)
25090,01,04,07,12,21,27,13,2025-08-10,2390000000
25089,02,06,08,13,17,25,09,2025-08-07,2380000000
25088,05,09,11,15,20,26,06,2025-08-05,2370000000
25087,01,03,07,10,19,28,02,2025-08-03,2360000000
25086,04,08,12,16,23,29,11,2025-07-31,2350000000
25085,02,05,11,17,22,30,04,2025-07-29,2340000000
25084,01,06,09,15,20,27,16,2025-07-27,2330000000
25083,03,07,10,14,18,26,08,2025-07-24,2320000000
25082,05,08,13,19,22,28,12,2025-07-22,2310000000
25081,02,04,09,16,21,33,05,2025-07-20,2300000000
25080,01,07,11,15,23,29,14,2025-07-17,2290000000
25079,03,06,10,18,22,27,03,2025-07-15,2280000000
25078,04,08,12,17,20,25,09,2025-07-13,2270000000
25077,02,05,11,14,19,26,07,2025-07-10,2260000000
25076,01,03,08,15,21,30,12,2025-07-08,2250000000
25075,04,07,10,16,22,28,06,2025-07-06,2240000000
25074,02,05,09,14,18,23,11,2025-07-03,2230000000
25073,01,06,11,17,20,27,04,2025-07-01,2220000000
25072,03,08,12,15,19,24,08,2025-06-28,2210000000
25071,02,05,09,13,18,26,15,2025-06-26,2200000000
25070,01,04,07,11,16,23,10,2025-06-24,2190000000
25069,03,06,09,14,17,22,02,2025-06-21,2180000000
25068,02,05,08,12,19,25,07,2025-06-19,2170000000
25067,01,04,07,10,15,22,13,2025-06-17,2160000000
25066,03,06,09,12,18,24,05,2025-06-14,2150000000
25065,02,05,08,11,17,23,09,2025-06-12,2140000000
25064,01,04,07,10,14,21,16,2025-06-10,2130000000
25063,03,06,09,12,15,20,03,2025-06-07,2120000000
25062,02,05,08,11,14,19,08,2025-06-05,2110000000
25061,01,04,07,10,13,18,12,2025-06-03,2100000000
25060,03,06,09,12,15,18,06,2025-05-31,2090000000
25059,02,05,08,11,14,17,11,2025-05-29,2080000000
25058,01,04,07,10,13,16,04,2025-05-27,2070000000
25057,03,06,09,12,15,18,09,2025-05-24,2060000000
25056,02,05,08,11,14,17,14,2025-05-22,2050000000
25055,01,04,07,10,13,16,02,2025-05-20,2040000000
25054,03,06,09,12,15,18,07,2025-05-17,2030000000
25053,02,05,08,11,14,17,12,2025-05-15,2020000000
25052,01,04,07,10,13,16,05,2025-05-13,2010000000
25051,03,06,09,12,15,18,10,2025-05-10,2000000000
